r,theta,n,s,psi,eigenvalue
0.2,1.0258261726007487,0.0,0.0,0.23749679163348486,1.5318096764997318
0.2,1.1540544441758422,0.0,0.0,0.24386071570542517,1.5318096764997318
0.2,1.2822827157509358,0.0,0.0,0.23841241378266514,1.5318096764997318
0.2,1.4105109873260295,0.0,0.0,0.25180445946912233,1.5318096764997318
0.2,1.538739258901123,0.0,0.0,0.2349826260238726,1.5318096764997318
0.2,1.6669675304762166,0.0,0.0,0.24978490248258367,1.5318096764997318
0.2,1.7951958020513104,0.0,0.0,0.22587711704503366,1.5318096764997318
0.2,1.9234240736264039,0.0,0.0,0.2315193022031088,1.5318096764997318
0.2,2.0516523452014974,0.0,0.0,0.2241552155202579,1.5318096764997318
0.2,2.179880616776591,0.0,0.0,0.24683116341314387,1.5318096764997318
0.2,2.3081088883516845,0.0,0.0,0.22882671743181995,1.5318096764997318
0.2,2.436337159926778,0.0,0.0,0.246513854316672,1.5318096764997318
0.2,2.5645654315018716,0.0,0.0,0.23276740597556664,1.5318096764997318
0.2,2.6927937030769655,0.0,0.0,0.2424833881790892,1.5318096764997318
0.2,2.821021974652059,0.0,0.0,0.23611433728572342,1.5318096764997318
0.2,2.9492502462271526,0.0,0.0,0.24672975613524675,1.5318096764997318
0.2,3.077478517802246,0.0,0.0,0.2329696091774118,1.5318096764997318
0.2,3.2057067893773397,0.0,0.0,0.2326552493521483,1.5318096764997318
0.2,3.333935060952433,0.0,0.0,0.22507733749489245,1.5318096764997318
0.2,3.4621633325275267,0.0,0.0,0.24584898483402756,1.5318096764997318
0.2,3.5903916041026207,0.0,0.0,0.23657638293089672,1.5318096764997318
0.2,3.7186198756777142,0.0,0.0,0.23389264638313434,1.5318096764997318
0.2,3.8468481472528078,0.0,0.0,0.22341962122612735,1.5318096764997318
0.2,3.9750764188279013,0.0,0.0,0.23827774050923434,1.5318096764997318
0.2,4.103304690402995,0.0,0.0,0.23540330089407646,1.5318096764997318
0.2,4.231532961978089,0.0,0.0,0.2350758275441105,1.5318096764997318
0.2,4.359761233553182,0.0,0.0,0.23627934181241048,1.5318096764997318
0.2,4.487989505128276,0.0,0.0,0.24740271210939432,1.5318096764997318
0.2,4.616217776703369,0.0,0.0,0.22375176853344814,1.5318096764997318
0.2,4.744446048278463,0.0,0.0,0.24121705754272005,1.5318096764997318
0.2,4.872674319853556,0.0,0.0,0.23465987411162573,1.5318096764997318
0.2,5.00090259142865,0.0,0.0,0.23458113167774858,1.5318096764997318
0.2,5.129130863003743,0.0,0.0,0.24015161956300454,1.5318096764997318
0.2,5.257359134578837,0.0,0.0,0.2337410558647319,1.5318096764997318
0.2,5.385587406153931,0.0,0.0,0.23424361908423452,1.5318096764997318
0.2,5.513815677729024,0.0,0.0,0.22924261184867278,1.5318096764997318
0.2,5.642043949304118,0.0,0.0,0.2291948567782596,1.5318096764997318
0.2,5.770272220879211,0.0,0.0,0.23592191369711918,1.5318096764997318
0.2,5.898500492454305,0.0,0.0,0.24587106104806436,1.5318096764997318
0.2,6.026728764029398,0.0,0.0,0.22869877334825403,1.5318096764997318
0.2,6.154957035604492,0.0,0.0,0.23162780668433242,1.5318096764997318
0.2,6.283185307179586,0.0,0.0,0.2378962102202257,1.5318096764997318
0.25,0.0,0.0,0.0,0.23121535169100071,1.5318096764997318
0.25,0.1282282715750936,0.0,0.0,0.22722285345949617,1.5318096764997318
0.25,0.2564565431501872,0.0,0.0,0.23057573076818466,1.5318096764997318
0.25,0.38468481472528077,0.0,0.0,0.21548553306409768,1.5318096764997318
0.25,0.5129130863003744,0.0,0.0,0.24033475957550912,1.5318096764997318
0.25,0.6411413578754679,0.0,0.0,0.24398538306674733,1.5318096764997318
0.25,0.7693696294505615,0.0,0.0,0.23334909286829741,1.5318096764997318
0.25,0.8975979010256552,0.0,0.0,0.22786233032480377,1.5318096764997318
0.25,1.0258261726007487,0.0,0.0,0.23115178102704334,1.5318096764997318
0.25,1.1540544441758422,0.0,0.0,0.22486547873582824,1.5318096764997318
0.25,1.2822827157509358,0.0,0.0,0.22581536229651558,1.5318096764997318
0.25,1.4105109873260295,0.0,0.0,0.2321439173414466,1.5318096764997318
0.25,1.538739258901123,0.0,0.0,0.22309100786759417,1.5318096764997318
0.25,1.6669675304762166,0.0,0.0,0.2211280834119272,1.5318096764997318
0.25,1.7951958020513104,0.0,0.0,0.23675576067662274,1.5318096764997318
0.25,1.9234240736264039,0.0,0.0,0.2369199538429356,1.5318096764997318
0.25,2.0516523452014974,0.0,0.0,0.235944678689711,1.5318096764997318
0.25,2.179880616776591,0.0,0.0,0.23848428981710715,1.5318096764997318
0.25,2.3081088883516845,0.0,0.0,0.2286026001687477,1.5318096764997318
0.25,2.436337159926778,0.0,0.0,0.24182791623343497,1.5318096764997318
0.25,2.5645654315018716,0.0,0.0,0.23585624528995983,1.5318096764997318
0.25,2.6927937030769655,0.0,0.0,0.23463566065231972,1.5318096764997318
0.25,2.821021974652059,0.0,0.0,0.24484134580950542,1.5318096764997318
0.25,2.9492502462271526,0.0,0.0,0.24311115635957434,1.5318096764997318
0.25,3.077478517802246,0.0,0.0,0.23297471130981356,1.5318096764997318
0.25,3.2057067893773397,0.0,0.0,0.22662451385982377,1.5318096764997318
0.25,3.333935060952433,0.0,0.0,0.23231566101992776,1.5318096764997318
0.25,3.4621633325275267,0.0,0.0,0.2359650301766056,1.5318096764997318
0.25,3.5903916041026207,0.0,0.0,0.2386696065686214,1.5318096764997318
0.25,3.7186198756777142,0.0,0.0,0.22305200329642869,1.5318096764997318
0.25,3.8468481472528078,0.0,0.0,0.23441919415204046,1.5318096764997318
0.25,3.9750764188279013,0.0,0.0,0.23697260191201805,1.5318096764997318
0.25,4.103304690402995,0.0,0.0,0.23854242626599634,1.5318096764997318
0.25,4.231532961978089,0.0,0.0,0.2328477376929297,1.5318096764997318
0.25,4.359761233553182,0.0,0.0,0.24366848409083788,1.5318096764997318
0.25,4.487989505128276,0.0,0.0,0.22268266098484144,1.5318096764997318
0.25,4.616217776703369,0.0,0.0,0.22931042259180653,1.5318096764997318
0.25,4.744446048278463,0.0,0.0,0.23708044391983737,1.5318096764997318
0.25,4.872674319853556,0.0,0.0,0.23895821952989268,1.5318096764997318
0.25,5.00090259142865,0.0,0.0,0.21560561715676735,1.5318096764997318
0.25,5.129130863003743,0.0,0.0,0.23200976635127207,1.5318096764997318
0.25,5.257359134578837,0.0,0.0,0.23707026473907425,1.5318096764997318
0.25,5.385587406153931,0.0,0.0,0.22466667662203746,1.5318096764997318
0.25,5.513815677729024,0.0,0.0,0.23642455704461562,1.5318096764997318
0.25,5.642043949304118,0.0,0.0,0.2317013916433694,1.5318096764997318
0.25,5.770272220879211,0.0,0.0,0.23056124589785734,1.5318096764997318
0.25,5.898500492454305,0.0,0.0,0.22801817207089425,1.5318096764997318
